UUID,Seq ID,Question,"Timestamp 
22_MEDIUM_e791c410-7426-46b1-933e-292a554c64b6,22,How long have I been driving around?,"13:27:25,13:31:55",duration,I have been driving around for 4.5 minutes,4.5,
22_MEDIUM_405645fa-9ed7-4db4-afb7-9bdf60ff2b0c,22,Was there a line in front of the food truck?,13:39:13,binary,,Yes,
22_MEDIUM_2b9a7a5f-a51c-4c79-bedd-327c3ed53ad2,22,Were you driving on the left side of the sidewalk?,13:29:45,binary,,No,
22_MEDIUM_36268c3d-0543-449e-b96c-6357ef790899,22,Was there any available seating outdoors?,13:33:56,binary,,Yes,
22_SHORT_cacd8c01-5b34-493d-9637-5ceda4689427,22,What color was the van parked on the sidewalk?,13:43:17,text,The van was white,,
22_SHORT_f65fba8e-2be7-49fa-ae05-0b6366e35260,22,Where is the closest fire hydrant?,13:47:26,position,,,
22_SHORT_79637443-dca0-4a76-be5e-d90d71ad4744,22,"Did you see any green, electric Lime scooters?",13:46:43,binary,,Yes,
22_SHORT_5a44f153-1031-4bbc-b79d-b05de3919cd6,22,Can you take me to an entrance into the building?,13:37:38,position,,,
22_SHORT_ed7c7a9a-ca3e-4cc8-b1af-792ea305908d,22,Is it cloudy today?,13:44:52,binary,,No,
22_SHORT_7be61216-384f-4e81-8554-dc909ac2f33a,22,What color are the banners on the lamp posts?,13:27:25,text,They are orange,,
22_SHORT_0593cee9-9e74-4daf-bb65-0f32474caa00,22,Can you take me to a trash can?,13:38:21,position,,,
22_SHORT_d61488ef-4390-403d-adc3-2a45da6149de,22,Can I park my car in the alley?,13:46:38,binary,"No, it is a fire lane",No,
22_SHORT_165c24b4-4917-4d6c-affe-b5432e19a05c,22,Do you think the food truck sells tacos?,13:30:58,binary,,No,
22_SHORT_1102d235-3b0e-4e3e-bdd2-5a937cea3090,22,Was I driving on the right side of the road?,13:44:03,binary,,No,
3_LONG_82d00865-87f5-4e45-aa02-ecda9eec12ae,3,"When did I see an ""EMERGENCY EXIT ONLY"" marker",12:16:08,time,,,temporal
3_LONG_e9c21145-3a55-41a6-b48f-e8d0b1452fb3,3,Did I see red sofas with people sitting on them,12:17:51,binary,,Yes,environmental
3_LONG_d7732615-983f-4dc0-8c52-1437b98b98ed,3,Did I go outdoor with trees?,12:14:38,binary,,Yes,environmental
3_LONG_3a877fd4-beaf-4f2f-b1dc-9d461707dd2d,3,Where did I see a hourse sculpture？,12:17:14,position,,[position],spatial
3_LONG_73204feb-ee1c-4567-a836-fe2db05bfb23,3,Where did I see over 5 tables with people chatting there?,12:18:20,position,,[position],spatial
3_LONG_fda7eae1-1531-42b5-be38-ed48540060a2,3,When did you see over 10 bikes?,12:24:10,time,,,temporal
3_LONG_cd5d197f-b393-443e-8531-6e04ad2fe37d,3,when did you exit the first building?,12:12:07,time,,,temporal
3_LONG_3c7ff5ee-ef38-4096-8ee6-9d9feaf9e9b2,3,did you see a car trying to park?,12:15:22,binary,,Yes,Reasoning
3_LONG_5213d6a7-151d-4beb-b9c3-4321c5fd59b8,3,Did you see a person holding a door for you to enter the building?,12:09:48,binary,,Yes,Reasoning
3_LONG_84d8f2e1-734c-421b-8822-681b17756920,3,Did you see the stairs in the building?,12:17:58,binary,,Yes,spatial
3_MEDIUM_bdb7c7ea-7e73-4565-9198-e10dfe218646,3,Where did you see the stairs in the building?,12:17:58,position,,[position],spatial
3_MEDIUM_66435c41-e1c6-47b2-93c4-f4468f30dc18,3,Are you in the building?,12:09:31,binary,,No,spatial
3_MEDIUM_5a271ce5-912d-4e28-9140-bb9921444f6f,3,What's the color of the sculpture of house,12:17:13,text,Brown,,spatial
3_MEDIUM_598bd41e-8344-4d07-b894-fc1a39d4da6b,3,How many cars did you see in total?,"12:22:03,12:23:02,12:24:12,12:24:20",text,3,,spatial and temporal
3_MEDIUM_2d60058c-1488-43dd-847c-d40bc1e2859f,3,Where did you see a big wall art?,12:17:16,position,,[position],spatial
3_MEDIUM_042f8517-6875-4364-accd-3096e1032efe,3,Did the women who opens the door for you also carries a water bottle?,12:16:12,binary,,Yes,spatial
3_MEDIUM_2d2b8344-6797-4a57-91c3-2efd1c43f517,3,Where did you left the building?,12:18:49,position,,[position],spatial
3_MEDIUM_63f85e28-3f42-4aa6-bd96-21a414394ccf,3,When did you left the building?,12:18:49,time,,,temporal
3_MEDIUM_ebc073aa-6f34-4206-9968-5e2f01fbbd2d,3,Did you see a building with blue glass wall?,12:13:06,binary,,Yes,spatial
3_MEDIUM_799afe7b-9226-4097-b14d-9cb91dee7a7d,3,Did you see a big plant in the building?,12:10:51,binary,,Yes,spatial
3_SHORT_81b4e8bd-348a-4326-a3df-b84a4a422b0e,3,Where did you see a parked van?,12:25:02,position,,[position],spatial
3_SHORT_ced58d98-c284-46ff-9a38-1e8312c7e486,3,Did you see the back of a stop sign?,12:13:29,binary,,Yes,spatial
3_SHORT_8aa1186d-ad47-4a1d-8068-73efdc21d309,3,Where did you see the yellow bollards?,12:23:33,position,,[position],spatial
3_SHORT_f27644fc-85ac-4182-a4c8-619972564e25,3,Did you see the trash can?,12:03:42,binary,,Yes,spatial
3_SHORT_a2be310a-5f69-416f-9aed-3c7d2d2b176c,3,Did you see a person wearing pink shoe?,12:20:12,binary,,Yes,environmental
3_SHORT_55634471-144f-4470-8354-82f0f2c69842,3,Where did you see a blue truck?,12:20:52,position,,[position],spatial
3_SHORT_1f6e9770-3d38-40bf-aff0-48fbc321e57c,3,Did you see a person go down the stairs?,12:05:01,binary,,Yes,spatial
3_SHORT_50661793-596b-4c1f-b07e-f312bbbaf3db,3,Where did you see a motocycle?,12:25:15,position,,[position],spatial
3_SHORT_2dbd306e-1a72-4c69-9a02-e88f13fe33a8,3,Where did you see an emergency phone call location?,12:14:42,position,,[position],spatial
3_SHORT_ed96bd25-71fd-4dc7-bdb3-90c5341a9198,3,Did you stop in front of the building?,"12:15:40,12:15:51",binary,,Yes,spatial
4_LONG_08d008fa-3196-4899-ad9c-e5006dd4abd0,4,how long do you wait for entering the building?,"16:25:35,16:26:56",duration,I was waiting for 1.35 minutes,1.35,temporal reasoning
4_LONG_af289cc9-dbcc-451c-89fb-9192a8e6aecb,4,where I can find the horse sculpture?,15:27:54,position,,[position],spatial
4_LONG_01711b96-6884-44a7-8883-0f73b1b4a3bd,4,Can you take me to the second floor?,16:28:52,position,,[position],spatial
4_LONG_34badd30-a686-4f85-8f87-0c82e97a2c51,4,Can you go back to the position where you made the first turn,16:22:21,position,,[position],spatial
4_LONG_d0815d48-8e28-417e-90f0-997e708e73b4,4,Where I can call the police?,16:24:37,position,,[position],spatial
4_LONG_ec69301d-4be7-41c7-a516-249fc6d7a0a8,4,What the color of the hat is for the guy who help you to open the door when you leave the building?,19:26:08,text,it was beige,,
4_LONG_49ac535e-3226-4b09-a4f6-08af863a916d,4,How many turns did you make before you got into the building?,"16:24:21,16:25:20",text,I made 2 turns,,
4_LONG_fa7d3a10-6441-4acf-8007-e90645793869,4,Do you see a human picture?,16:27:05,binary,,Yes,
4_LONG_b66cb337-b0a3-4030-b992-b60437a35fcd,4,Where I can find a human picture?,16:27:05,position,,[position],spatial
4_LONG_3b1c06b9-e6da-4f72-abaf-fd56b8668712,4,Where I can throw away a recyclable box in the building?,16:27:44,position,,[position],spatial
4_MEDIUM_70ac1aef-f933-413a-8504-d2b943421766,4,Can I drive a car on this road?,16:33:28,binary,,No,
4_MEDIUM_8d015656-fdb1-4aa6-8dcb-ee482d7d8683,4,What is the color of the car that passed the gate?,16:24:38,text,It was a white car,,
4_MEDIUM_56b27d99-f436-461d-bc4e-aa33bc72672d,4,"Can you take me to the ""tree"" sculpture?",16:32:54,position,,[position],spatial
4_MEDIUM_1bc9c977-f89f-4138-83c8-3c093312d135,4,Can I ride a bike on the yellow road you saw?,16:30:07,binary,,Yes,
4_MEDIUM_e06f4554-f59f-44c1-88ef-a2f543a16fa7,4,Did you see red sofa?,16:28:33,binary,,Yes,
4_MEDIUM_bb698273-f008-4d31-863f-3bd1758b80c2,4,Did you see the police call pole?,16:32:20,binary,,Yes,
4_MEDIUM_af9a40ef-a932-4506-a299-51d08098c035,4,How many cars did you see that passed the gate?,"16:25:03,16:25:20",text,I didn't see any car passing the gate,,
4_MEDIUM_8c676447-0458-486c-8c4a-9803fbfe234b,4,How many door did they open for letting you out?,"16:29:10,16:29:23",text,They opened 2 doors,,
4_MEDIUM_c5fd604e-e482-49d8-bbbd-1ee6ab360c95,4,Can you take me to the door where you enter the building?,16:25:35,position,,[position],spatial
4_MEDIUM_b2bdb736-4961-4672-8b74-9fc0e9d4be17,4,Can you take me to the door where you leave the building?,16:29:10,position,,[position],
4_SHORT_e4b510ec-3a23-49a7-bd77-259520223e03,4,How many turns did you make?,"16:23:22,16:24:21",text,I made 2 turns,,
4_SHORT_ab9a4486-81ec-415e-8b81-7f85e922b788,4,Did you see a bike?,16:30:49,binary,,Yes,
4_SHORT_54ebf623-8e77-4e7b-a418-5fe6b5f6c098,4,Did you see a man with straw hat?,16:24:31,binary,,Yes,
4_SHORT_080d6400-5c75-470b-bed1-9732e4e90e14,4,Did you see a scooter?,16:23:12,binary,,Yes,
4_SHORT_daecee53-71ea-40ff-b4dc-92b3cef99ea0,4,When did you turn around for the first time?,16:32:42,time,,[minutes] ago,
4_SHORT_5e826626-fffb-4d6d-942c-e749c84a458e,4,When did you see a scooter?,16:32:39,time,,[minutes] ago,
4_SHORT_65732436-fbcb-4c0f-b2ed-51c07e7e4821,4,When did you see a skateboard?,16:30:56,time,,[minutes] ago,
4_SHORT_86414b06-ac65-4282-811c-15290b35fb3f,4,How many times did you turned around?,"16:31:26,16:32:42,16:32:49",text,I turned around for 3 times,,
4_SHORT_519b3d63-d1f0-49a5-9c6f-914e6ca4359d,4,Where is the stair？,16:28:36,position,,[position],
4_SHORT_ea407d62-977d-4ff2-90dc-d7e6749eaa92,4,Did you turn left or turn right?,16:23:19,text,I turned right,,
6_LONG_f6065dfb-213b-467e-9fd8-f0e67a772191,6,Is it sunny outside?,12:29:56,binary,yes,yes,environmental
6_LONG_d0e0a27c-67f0-4186-b330-9148db321d15,6,Where can I get food here?,12:32:55,position,,[position],spatial
6_LONG_1dfb386f-cd34-43e4-ad57-cd4d0b70bcc2,6,Where is an ATM?,12:33:15,position,,[position],spatial
6_LONG_82f2e531-d605-4a72-beab-095dd4b9e08f,6,What's the name of the coffee shop?,12:34:04,text,The name of the coffee shop is Longhorn Coffee Co,Longhorn Coffee Co,"temporal, text interpretation"
6_LONG_9acacace-2350-4ad0-8eb1-7182a39cf6e8,6,Where is the closest place to eat outside?,12:30:35,position,,[position],"environmental, spatial"
6_LONG_628ccb31-49df-457d-b43a-c247d3a9b82f,6,Where is the nearest AED?,12:34:44,position,,[position],"object detection, spatial"
6_LONG_7eb863ca-4343-4181-8a96-a28bb5bb792c,6,Did you see anyone riding an electric scooter?,12:24:59,binary,yes,yes,"object detection, contextual reasoning"
6_LONG_7c5b8ad3-242a-4a35-abb9-eca2fd2c2402,6,What was the color of the food truck?,12:29:35,text,The food truck was yellow,yellow,"environmental, object detection"
6_LONG_258dba25-f218-436e-ab68-c742babc97ef,6,Did you see any bike racks?,12:31:56,binary,yes,yes,"object detection, environmental"
6_LONG_fc569d7c-6544-4dc1-9591-baee636e5cb2,6,Where did you see a crowd of people standing?,12:37:06,position,,[position],"environmental, contextual reasoning"
6_MEDIUM_adb9a59c-93f6-4171-901a-00782038ff83,6,Did you pass through any bollards?,12:43:14,binary,yes,yes,"environmental, egocentric reasoning"
6_MEDIUM_4701bd3d-352e-40d4-94fe-3d2a18edbd23,6,Can you take me to the restroom near the food court?,12:34:42,position,,[position],"spatial, signs"
6_MEDIUM_8ddfc026-55ad-4a28-9c1d-df9385c32b94,6,Did you see a loading zone?,12:44:59,binary,yes,yes,"environmental, text interpretation"
6_MEDIUM_abc888ec-e5a1-4ba9-8612-cc4fec8549f2,6,Where did you see orange cones?,12:37:18,position,,[position],"environmental, object detection"
6_MEDIUM_b4e59b77-8e44-4f48-ab04-a3d4fc653a6c,6,Did you see a Stop sign?,12:42:20,binary,yes,yes,traffic signs interpretation
6_MEDIUM_a60e24ac-50b6-49e7-8c68-abfd677d4ea5,6,What does the food truck sell?,12:38:03,text,The food truck sells pretzels,pretzels,text interpretation
6_MEDIUM_7a9d7a3c-6730-42dd-a834-91e3eb684fc6,6,Is it safe to walk outside?,12:42:13,binary,"Yes, it is a bright day with a lot of people walking around, so it should be safe.",yes,"contextual reasoning, object detection"
6_MEDIUM_eed3c4de-9597-49af-951b-b2588dbf7c4c,6,Did you see an elevated pedestrian bridge?,12:43:24,binary,yes,yes,environmental
6_MEDIUM_a76280fa-7bd6-42d8-b16f-01d457362826,6,Did you see any traffic lights?,12:42:16,binary,no,no,"object detection, environmental"
6_MEDIUM_d27a4b07-7b8e-4591-87b5-d732d57e695d,6,When did you reach the tree-lined path?,12:24:57,time,,[minutes] ago,temporal
6_SHORT_0a24625a-bc44-4bab-8cc7-5e5fc31eb0b0,6,What was the color of the semi truck,12:37:54,text,yellow,yellow,object detection
6_SHORT_116cb2c2-8a03-4491-abe1-31b3c9b809bd,6,Did you see a building with large windows?,12:44:27,binary,yes,yes,environmental
6_SHORT_4b6d1d26-871c-43ee-9e86-98d1cf75a132,6,What was the color of shoes of the person who opened the door for you?,12:35:15,text,The person who opened the door for me was wearing white shoes,white,"environmental, spatial"
6_SHORT_136fb34b-f179-47ec-98ba-16fe18a7f7f3,6,When did you pass through the yellow bollards?,12:43:15,time,,[minutes] ago,"temporal, environmental"
6_SHORT_aae33b1e-1d56-4e1a-a067-69b5ac3ec84a,6,Did you see any vehicles?,12:43:16,binary,"Yes, I saw vehicles.",yes,environmental
6_SHORT_2732dae9-2d64-4bc1-b36e-1adf39854dc3,6,Where is the fire extinguisher?,12:33:22,position,,[position],"environmental, object detection"
6_SHORT_47b97723-1b7f-4dee-9a57-b71c478299b6,6,What was written on the back of the trailer?,12:40:55,text,"The word ""Cotton"" was written on the back of the trailer",cotton,"environmental, text interpretation"
6_SHORT_df3a971e-ad32-4e0e-b450-391e4ae37e24,6,Which hand was the person using to pull the cart?,12:28:38,text,The person was using their left hand to pull the cart,left,"environmental, contextual reasoning"
6_SHORT_8938e1b4-a114-4f7d-a06c-d132acaba896,6,Which direction did you turn after the parked bicycles?,12:43:52,text,I turned right after the parked bicycles,right,"environmental, egocentric reasoning"
6_SHORT_39bc90dd-27ee-420a-b578-046237c0b0aa,6,Did you go over any grass?,12:42:23,binary,"No, I did not go over any grass.",no,"environmental, egocentric reasoning"